What is negative index in Python?,"Python sequences can be index in positive and negative numbers. For positive index, 0 is the first index, 1 is the second index and so forth. For negative index, (-1) is the last index and (-2) is the second last index and so forth."
How you can convert a number to a string?,"In order to convert a number into a string, use the inbuilt function str(). If you want a octal or hexadecimal representation, use the inbuilt function oct() or hex()."
What is the difference between Xrange and range?,"Xrange returns the xrange object while range returns the list, and uses the same memory and no matter what the range size is."
What is module and package in Python?,"In Python, module is the way to structure program. Each Python program file is a module, which imports other modules like objects and attributes. The folder of Python program is a package of modules. A package can have modules or subfolders"
Mention what are the rules for local and global variables in Python?,"Local variables: If a variable is assigned a new value anywhere within the function's body, it's assumed to be local. Global variables: Those variables that are only referenced inside a function are implicitly global."
How can you share global variables across modules?,"To share global variables across modules within a single program, create a special module. Import the config module in all modules of your application. The module will be available as a global variable across modules."
Explain how can you make a Python Script executable on Unix?,"To make a Python Script executable on Unix, you need to do two things, • Script file's mode must be executable and • the first line must begin with # ( #!/usr/local/bin/python)"
Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename)
Explain how can you generate random numbers in Python?,"To generate random numbers in Python, you need to import command as import random random.random() This returns a random floating point number in the range [0,1)"
Mention the use of // operator in Python?,"It is a Floor Divisionoperator , which is used for dividing two operands with the result as quotient showing only digits before the decimal point. For instance, 10//5 = 2 and 10.0//5.0 = 2.0."
Mention the use of the split function in Python?,The use of the split function in Python is that it breaks a string into shorter strings using the defined separator. It gives a list of all words present in the string.
Explain what is Flask & its benefits?,"Flask is a web micro framework for Python based on “Werkzeug, Jinja 2 and good intentions” BSD licensed. Werkzeug and jingja are two of its dependencies. Flask is part of the micro-framework. Which means it will have little to no dependencies on external libraries. It makes the framework light while there is little dependency to update and less security bugs"
"Mention what is the difference between Django, Pyramid, and Flask?","Flask is a “microframework” primarily build for a small application with simpler requirements. In flask, you have to use external libraries. Flask is ready to use. Pyramid are build for larger applications. It provides flexibility and lets the developer use the right tools for their project. The developer can choose the database, URL structure, templating style and more. Pyramid is heavy configurable. Like Pyramid, Django can also used for larger applications. It includes an ORM."
Explain database connection in Python Flask?,"Flask supports database powered application (RDBS). Such system requires creating a schema, which requires piping the shema.sql file into a sqlite3 command. So you need to install sqlite3 command in order to create or initiate the database in Flask."
 What are the benefits of using Python language as a tool in the present scenario?,The following are the benefits of using Python language:
What are Literals in Python and explain about different Literals," A literal in python source code represents a fixed value for primitive data types. There are 5 types of literals in python- 1) String literals– A string literal is created by assigning some text enclosed in single or double quotes to a variable. To create multiline literals, assign the multiline text enclosed in triple quotes. Eg.name=”Tanya”  2)A character literal– It is created by assigning a single character enclosed in double quotes. Eg. a=’t’ . 3)Numeric literals include numeric values that can be either integer, floating point value, or a complex number. Eg. a=50 .4)Boolean literals– These can be 2 values- either True or False. 4)Literal Collections– These are of 4 types a) List collections b) Tuple literals c) Dictionary literals d) Set literals "
What are functions in Python?,"A function is a block of code which is executed only when it is called. To define a Python function, the def keyword is used."
"What is the purpose of ‘is’, ‘not’ and ‘in’ operators?",Operators are special functions. They take one or more values and produce a corresponding result. is: returns true when 2 operands are true  (Example: “a” is ‘a’) not: returns the inverse of the boolean value in: checks if some element is present in some sequence
